Property Address,Insight 1,Insight 2,Driver,Account,Criticality
"2483 Olson Via St, Houston",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,Bank of ACME,High
"8389 Chad Village St, Houston",Energy Usage,Off-Hours,High energy usage during peak hours,Quantum Dynamics,Critical
"3427 James Shoal St, Boston",Energy Usage,Off-Hours,High energy usage during peak hours,StreamView Media,Low
"9659 Angela Estates St, New York",Energy Usage,Energy Efficiency,High energy usage during peak hours,NexaRetail,Low
"6752 Cameron Extension St, Atlanta",Budgets,Budget Compliance,Janitorial Budget above 20% mean,GreenLeaf Co.,Critical
"9460 Laura Forks St, Boston",Work Orders,Preventative,High number of reactive work orders,Bank of ACME,Medium
"2364 Rodriguez Plains St, Miami",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,Bank of ACME,Medium
"3803 Bruce Light St, Seattle",Energy Usage,Energy Efficiency,Low energy efficiency,GreenLeaf Co.,Medium
"5885 Charles Trail St, Chicago",Leases,Renewal Rate,High number of expiring leases,TechSphere Inc.,Critical
"5655 Ian Meadows St, Boston",Leases,Renewal Rate,High number of expiring leases,TechSphere Inc.,High
"4756 Henry Knolls St, Chicago",Energy Usage,Peak Hours,Low energy efficiency,EverGrow Farms,Medium
"9204 Lisa Oval St, Chicago",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,Bank of ACME,Medium
"4921 Anderson Hill St, Houston",Leases,Occupancy,High number of expiring leases,TechSphere Inc.,Critical
"2432 Clark Isle St, Seattle",Compliance,Compliance Score,Multiple non-compliance incidents,Bank of ACME,High
"3000 Torres Roads St, New York",Compliance,Regulatory Updates,Upcoming regulatory changes,GreenLeaf Co.,Medium
"3649 William Islands St, Dallas",Work Orders,Completion Rate,Completion Rates below 50%,TechSphere Inc.,Medium
"2579 Castaneda Ford St, Boston",Leases,Occupancy,High number of expiring leases,EverGrow Farms,High
"3025 Keith Stravenue St, Los Angeles",Work Orders,Completion Rate,High number of reactive work orders,TechSphere Inc.,Critical
"2521 Bradley Vista St, Los Angeles",Leases,Renewal Rate,Low renewal rates,Quantum Dynamics,Medium
"2646 Chen Drive St, Los Angeles",Budgets,Budget Compliance,Energy Costs above 15% mean,StreamView Media,Low
"9369 Eric Turnpike St, Houston",Work Orders,Reactive,Completion Rates below 50%,Quantum Dynamics,Medium
"1412 Wise Burgs St, Seattle",Energy Usage,Off-Hours,High energy usage during peak hours,Bank of ACME,High
"3453 Simmons Mills St, Los Angeles",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,Quantum Dynamics,High
"4113 Morgan Oval St, Miami",Work Orders,Reactive,High number of reactive work orders,GreenLeaf Co.,Medium
"9723 Kelly Squares St, Houston",Leases,Expiring,Low renewal rates,EverGrow Farms,Medium
"2540 Joseph Motorway St, San Francisco",Energy Usage,Peak Hours,Low energy efficiency,Bank of ACME,Medium
